City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yumen,40.2833,97.2,10.98,14,2,6.83,CN,1680425137
1,codrington,-38.2667,141.9667,12.74,75,15,2.58,AU,1680425137
2,darhan,49.4867,105.9228,-4.73,29,100,8.74,MN,1680425139
3,albany,42.6001,-73.9662,3.46,77,56,6.26,US,1680424986
4,klaksvik,62.2266,-6.589,6.51,76,1,2.91,FO,1680425140
5,rikitea,-23.1203,-134.9692,26.61,82,89,7.27,PF,1680425141
6,kangaatsiaq,68.3065,-53.4641,-25.26,100,100,1.26,GL,1680425141
7,sabha,27.0377,14.4283,26.54,7,0,5.11,LY,1680425144
8,pevek,69.7008,170.3133,-29.59,100,97,1.24,RU,1680425146
9,tarko-sale,64.9225,77.785,1.52,99,94,17.67,RU,1680424903
10,lata,40.1629,-8.3327,12.82,70,13,3.95,PT,1680425148
11,saskylakh,71.9167,114.0833,-5.0,89,100,10.78,RU,1680425149
12,port macquarie,-31.4333,152.9167,18.27,82,9,2.85,AU,1680425152
13,pangnirtung,66.1451,-65.7125,-17.43,72,100,2.49,CA,1680425153
14,port hedland,-20.3167,118.5667,30.93,63,24,6.6,AU,1680425153
15,busselton,-33.65,115.3333,23.61,56,11,8.22,AU,1680424993
16,bilma,18.6853,12.9164,27.6,6,100,6.66,NE,1680425156
17,severo-kurilsk,50.6789,156.125,-0.38,89,95,7.99,RU,1680425156
18,tabory,58.5198,64.5495,8.68,76,95,5.84,RU,1680425157
19,quatre cocos,-20.2078,57.7625,30.06,71,69,4.63,MU,1680425158
20,ponta do sol,32.6667,-17.1,22.06,57,0,5.14,PT,1680425159
21,burnie,-41.0667,145.9167,15.25,68,44,6.28,AU,1680425001
22,sistranda,63.7256,8.834,-0.02,75,11,4.62,NO,1680425160
23,ken caryl,39.5773,-105.1169,9.65,25,2,11.18,US,1680425161
24,qaanaaq,77.484,-69.3632,-24.7,57,75,2.81,GL,1680425161
